Species Strain Condition Line Genotype RSS r2 rmax rmax_se topt topt_se ctmin ctmin_se ctmax ctmax_se tolerance breadth An_rmax An_topt An_ctmax An_ctmin An_tolerance An_breadth rmax_rel topt_rel ctmax_rel ctmin_rel tolerance_rel breadth_rel
Se Se-2 Treatment 2 I1 0.0006263 0.987 0.261 0.012 26.149 0.607 9.51 2.289 34.015 0.231 24.505 8.466 0.294 24.062 32.536 0.282 32.254 10.222 -0.033 2.087 1.479 9.228 -7.749 -1.756
Se Se-2 Treatment 2 I2 0.000742 0.981 0.233 0.013 26.878 0.767 4.725 4.15 34.011 0.218 29.286 8.997 0.294 24.062 32.536 0.282 32.254 10.222 -0.061 2.816 1.475 4.443 -2.968 -1.225
Se Se-2 Treatment 2 I3 4.391e-32 1 0.275 1.649e-16 27.169 1.836e-14 -1.056 1.798e-13 32.216 1.628e-14 33.272 8.465 0.294 24.062 32.536 0.282 32.254 10.222 -0.019 3.107 -0.32 -1.338 1.018 -1.757
Se Se-2 Treatment 3 I1 0.0002934 0.996 0.32 0.008 27.489 0.35 4.41 1.86 34.002 0.085 29.592 8.769 0.294 24.062 32.536 0.282 32.254 10.222 0.026 3.427 1.466 4.128 -2.662 -1.453
Se Se-2 Treatment 3 I2 0.001 0.981 0.326 0.018 26.281 0.76 6.312 3.799 34.015 0.254 27.703 9.021 0.294 24.062 32.536 0.282 32.254 10.222 0.032 2.219 1.479 6.03 -4.551 -1.201
Se Se-2 Treatment 3 I3 0.002 0.981 0.346 0.019 26.309 0.749 8.31 3.136 34.041 0.271 25.731 8.651 0.294 24.062 32.536 0.282 32.254 10.222 0.052 2.247 1.505 8.028 -6.523 -1.571
Se Se-2 Treatment 4 I1 0.0004934 0.99 0.273 0.012 27.1 0.936 3.536 4.705 32.757 1.106 29.221 8.179 0.294 24.062 32.536 0.282 32.254 10.222 -0.021 3.038 0.220999999999997 3.254 -3.033 -2.043
Se Se-2 Treatment 4 I2 4.623e-06 1 0.272 0.001 26.216 0.092 3.905 0.524 33.609 0.137 29.704 9.214 0.294 24.062 32.536 0.282 32.254 10.222 -0.022 2.154 1.073 3.623 -2.55 -1.008
Se Se-2 Treatment 4 I3 9.668e-05 0.998 0.273 0.006 27.438 0.432 2.619 2.068 32.188 0.366 29.569 7.733 0.294 24.062 32.536 0.282 32.254 10.222 -0.021 3.376 -0.347999999999999 2.337 -2.685 -2.489
Su Su-1 Ancestral Ancestral Ancestral 0.002 0.978 0.438 0.02 29.255 0.685 4.834 3.267 33.91 0.457 29.076 7.565 0.438 29.255 33.91 4.834 29.076 7.565 0 0 0 0 0 0
Su Su-1 Control 1 I1 0.002 0.976 0.443 0.022 28.717 0.693 7.109 2.961 33.958 0.459 26.849 7.558 0.438 29.255 33.91 4.834 29.076 7.565 0.005 -0.538 0.0480000000000018 2.275 -2.227 -0.00700000000000056
Su Su-1 Control 1 I2 0.001 0.983 0.415 0.016 28.745 0.589 5.875 2.662 34.211 0.484 28.336 7.935 0.438 29.255 33.91 4.834 29.076 7.565 -0.023 -0.509999999999998 0.301000000000002 1.041 -0.740000000000002 0.369999999999999
Su Su-1 Control 1 I3 0.0005119 0.992 0.416 0.011 28.878 0.397 5.364 1.854 34.023 0.281 28.659 7.786 0.438 29.255 33.91 4.834 29.076 7.565 -0.022 -0.376999999999999 0.113000000000007 0.53 -0.417000000000002 0.220999999999999
Su Su-1 Control 2 I1 0.001 0.984 0.426 0.017 29.279 0.581 3.433 3.05 33.516 0.225 30.083 7.452 0.438 29.255 33.91 4.834 29.076 7.565 -0.012 0.0240000000000009 -0.393999999999998 -1.401 1.007 -0.113
Su Su-1 Control 2 I2 0.001 0.983 0.425 0.017 29.17 0.595 4.671 2.88 33.862 0.371 29.191 7.597 0.438 29.255 33.91 4.834 29.076 7.565 -0.013 -0.0849999999999973 -0.0479999999999947 -0.162999999999999 0.114999999999998 0.032
Su Su-1 Control 2 I3 0.002 0.975 0.429 0.021 28.927 0.703 4.949 3.431 33.71 0.356 28.761 7.58 0.438 29.255 33.91 4.834 29.076 7.565 -0.00900000000000001 -0.327999999999999 -0.199999999999996 0.115 -0.315000000000001 0.0149999999999997
Su Su-1 Control 3 I1 0.001 0.986 0.396 0.018 28.433 0.52 5.846 2.643 33.235 0.134 27.389 7.416 0.438 29.255 33.91 4.834 29.076 7.565 -0.042 -0.821999999999999 -0.674999999999997 1.012 -1.687 -0.149
Su Su-1 Control 3 I2 0.001 0.98 0.387 0.017 28.842 0.619 4.3 3.21 33.524 0.24 29.224 7.594 0.438 29.255 33.91 4.834 29.076 7.565 -0.051 -0.413 -0.385999999999996 -0.534 0.148 0.0289999999999999
Su Su-1 Control 3 I3 0.001 0.979 0.42 0.018 29.48 0.669 3.838 3.318 33.794 0.403 29.956 7.524 0.438 29.255 33.91 4.834 29.076 7.565 -0.018 0.225000000000001 -0.116 -0.996 0.879999999999999 -0.0410000000000004
Su Su-1 Control 4 I1 0.001 0.992 0.468 0.065 29.549 1.24 3.375 4.354 31.832 2.205 28.457 5.825 0.438 29.255 33.91 4.834 29.076 7.565 0.03 0.294 -2.078 -1.459 -0.619 -1.74
Su Su-1 Control 4 I2 0.001 0.984 0.429 0.016 29.059 0.571 5.109 2.686 34.065 0.432 28.956 7.748 0.438 29.255 33.91 4.834 29.076 7.565 -0.00900000000000001 -0.195999999999998 0.155000000000001 0.275 -0.120000000000001 0.183
Su Su-1 Control 4 I3 0.001 0.983 0.431 0.017 29.283 0.608 5.077 2.845 34.047 0.47 28.97 7.621 0.438 29.255 33.91 4.834 29.076 7.565 -0.00700000000000001 0.0280000000000022 0.137 0.243 -0.106000000000002 0.056
Su Su-1 Treatment 1 I1 0.001 0.979 0.401 0.018 29.998 0.725 3.507 3.524 34.006 0.636 30.499 7.336 0.438 29.255 33.91 4.834 29.076 7.565 -0.037 0.743000000000002 0.0960000000000036 -1.327 1.423 -0.229
Su Su-1 Treatment 1 I2 0.0005733 0.989 0.387 0.012 29.681 0.491 3.953 2.384 33.992 0.39 30.039 7.505 0.438 29.255 33.91 4.834 29.076 7.565 -0.051 0.426000000000002 0.0820000000000007 -0.881 0.963000000000001 -0.0600000000000005
