Strain	Replicate	Specie	Temperature	Rate	OD
Su-1	1	SU	25	0.41	1.140
Su-1	2	SU	25	0.384	1.150
Su-1	3	SU	25	0.391	1.122
Su-2	1	SU	25	0.383	1.131
Su-2	2	SU	25	0.374	1.128
Su-2	3	SU	25	0.396	1.091
Su-3	1	SU	25	0.386	1.227
Su-3	2	SU	25	0.403	1.276
Su-3	3	SU	25	0.364	1.150
Su-4	1	SU	25	0.388	1.140
Su-4	2	SU	25	0.381	1.115
Su-4	3	SU	25	0.408	1.125
Sk-1	1	SK	25	0.456	1.278
Sk-1	2	SK	25	0.323	1.181
Sk-1	3	SK	25	0.359	1.206
Sk-2	1	SK	25	0.354	1.191
Sk-2	2	SK	25	0.327	1.217
Sk-2	3	SK	25	0.327	1.097
Sk-3	1	SK	25	0.331	1.158
Sk-3	2	SK	25	0.331	1.200
Sk-3	3	SK	25	0.321	1.075
Sk-4	1	SK	25	0.333	1.035
Sk-4	2	SK	25	0.326	1.054
Sk-4	3	SK	25	0.338	1.070
Sa-1	1	SA	25	0.400	1.265
Sa-1	2	SA	25	0.408	1.187
Sa-1	3	SA	25	0.392	1.159
Sa-2	1	SA	25	0.348	1.279
Sa-2	2	SA	25	0.398	1.280
Sa-2	3	SA	25	0.382	1.314
Sa-3	1	SA	25	0.312	1.288
Sa-3	2	SA	25	0.315	1.254
Sa-3	3	SA	25	0.31	1.207
Sa-4	1	SA	25	0.302	1.086
Sa-4	2	SA	25	0.276	1.056
Sa-4	3	SA	25	0.313	1.183
Sm-1	1	SM	25	0.433	1.236
Sm-1	2	SM	25	0.402	1.224
Sm-1	3	SM	25	0.413	1.207
Sm-2	1	SM	25	0.427	1.163
Sm-2	2	SM	25	0.436	1.189
Sm-2	3	SM	25	0.388	1.101
Sm-3	1	SM	25	0.451	1.185
Sm-3	2	SM	25	0.438	1.185
Sm-3	3	SM	25	0.399	1.139
Sm-4	1	SM	25	0.421	1.078
Sm-4	2	SM	25	0.411	1.068
Sm-4	3	SM	25	0.483	1.159
Sm-5	1	SM	25	0.478	1.209
Sm-5	2	SM	25	0.405	1.123
Sm-5	3	SM	25	0.492	1.162
Sm-6	1	SM	25	0.408	1.150
Sm-6	2	SM	25	0.405	1.096
Sm-6	3	SM	25	0.45	1.175
Se-1	1	SE	25	0.382	1.104
Se-1	2	SE	25	0.425	1.237
Se-1	3	SE	25	0.398	1.104
Se-2	1	SE	25	0.378	1.107
Se-2	2	SE	25	0.358	1.110
Se-2	3	SE	25	0.392	1.153
Se-3	1	SE	25	0.228	0.461
Se-3	2	SE	25	0.228	0.415
Se-3	3	SE	25	0.228	0.289
Se-4	1	SE	25	0.436	1.240
Se-4	2	SE	25	0.424	1.190
Se-4	3	SE	25	0.438	1.213
Se-5	1	SE	25	0.375	1.113
Se-5	2	SE	25	0.419	1.153
Se-5	3	SE	25	0.395	1.143
Se-6	1	SE	25	0.324	1.112
Se-6	2	SE	25	0.268	1.054
Se-6	3	SE	25	0.351	1.111
Sj-1	1	SJ	25	0.447	1.140
Sj-1	2	SJ	25	0.499	1.155
Sj-1	3	SJ	25	0.473	1.149
Sj-2	1	SJ	25	0.407	1.129
Sj-2	2	SJ	25	0.483	1.135
Sj-2	3	SJ	25	0.425	1.138
Su-1	1	SU	28	0.464	1.202
Su-1	2	SU	28	0.422	1.016
Su-1	3	SU	28	0.449	0.996
Su-2	1	SU	28	0.424	1.087
Su-2	2	SU	28	0.429	1.119
Su-2	3	SU	28	0.455	1.063
Su-3	1	SU	28	0.412	1.231
Su-3	2	SU	28	0.415	1.277
Su-3	3	SU	28	0.403	1.114
Su-4	1	SU	28	0.438	1.093
Su-4	2	SU	28	0.424	1.048
Su-4	3	SU	28	0.446	1.221
Sk-1	1	SK	28	0.451	1.267
Sk-1	2	SK	28	0.342	1.045
Sk-1	3	SK	28	0.367	1.074
Sk-2	1	SK	28	0.347	1.072
Sk-2	2	SK	28	0.353	1.147
Sk-2	3	SK	28	0.385	0.998
Sk-3	1	SK	28	0.273	1.140
Sk-3	2	SK	28	0.27	1.030
Sk-3	3	SK	28	0.251	0.855
Sk-4	1	SK	28	0.324	1.004
Sk-4	2	SK	28	0.303	0.983
Sk-4	3	SK	28	0.313	1.222
Sa-1	1	SA	28	0.413	1.131
Sa-1	2	SA	28	0.42	1.031
Sa-1	3	SA	28	0.439	1.091
Sa-2	1	SA	28	0.338	1.184
Sa-2	2	SA	28	0.435	1.226
Sa-2	3	SA	28	0.435	1.152
Sa-3	1	SA	28	0.342	1.239
Sa-3	2	SA	28	0.369	1.189
Sa-3	3	SA	28	0.343	1.076
Sa-4	1	SA	28	0.338	1.007
Sa-4	2	SA	28	0.322	1.001
Sa-4	3	SA	28	0.365	1.247
Sm-1	1	SM	28	0.501	1.199
Sm-1	2	SM	28	0.481	1.167
Sm-1	3	SM	28	0.495	1.106
Sm-2	1	SM	28	0.485	1.083
Sm-2	2	SM	28	0.512	1.138
Sm-2	3	SM	28	0.555	1.085
Sm-3	1	SM	28	0.469	1.154
Sm-3	2	SM	28	0.48	1.105
Sm-3	3	SM	28	0.477	1.089
Sm-4	1	SM	28	0.514	1.068
Sm-4	2	SM	28	0.468	1.051
Sm-4	3	SM	28	0.537	1.100
Sm-5	1	SM	28	0.51	1.263
Sm-5	2	SM	28	0.489	1.086
Sm-5	3	SM	28	0.531	1.084
Sm-6	1	SM	28	0.497	1.078
Sm-6	2	SM	28	0.49	1.114
Sm-6	3	SM	28	0.528	1.068
Se-1	1	SE	28	0.418	1.156
Se-1	2	SE	28	0.462	1.099
Se-1	3	SE	28	0.438	1.056
Se-2	1	SE	28	0.364	0.991
Se-2	2	SE	28	0.347	0.919
Se-2	3	SE	28	0.356	1.154
Se-3	1	SE	28	0	0.016
Se-3	2	SE	28	0	0.023
Se-3	3	SE	28	0	0.015
Se-4	1	SE	28	0.475	1.036
Se-4	2	SE	28	0.461	1.088
Se-4	3	SE	28	0.483	1.082
Se-5	1	SE	28	0.423	1.083
Se-5	2	SE	28	0.469	1.103
Se-5	3	SE	28	0.45	1.085
Se-6	1	SE	28	0.284	1.035
Se-6	2	SE	28	0.268	1.005
Se-6	3	SE	28	0.27	1.197
Sj-1	1	SJ	28	0.494	1.185
Sj-1	2	SJ	28	0.514	1.116
Sj-1	3	SJ	28	0.504	1.166
Sj-2	1	SJ	28	0.492	1.168
Sj-2	2	SJ	28	0.542	1.189
Sj-2	3	SJ	28	0.498	1.159
Su-1	1	SU	31	0.47	1.047
Su-1	2	SU	31	0.524	1.293
Su-1	3	SU	31	0.48	0.992
Su-2	1	SU	31	0.43	1.033
Su-2	2	SU	31	0.433	1.079
Su-2	3	SU	31	0.448	1.083
Su-3	1	SU	31	0.44	1.156
Su-3	2	SU	31	0.426	1.228
Su-3	3	SU	31	0.433	1.172
Su-4	1	SU	31	0.347	1.004
Su-4	2	SU	31	0.324	1.041
Su-4	3	SU	31	0.344	0.947
Sk-1	1	SK	31	0.275	1.093
Sk-1	2	SK	31	0.36	1.295
Sk-1	3	SK	31	0.248	0.919
Sk-2	1	SK	31	0.226	1.037
Sk-2	2	SK	31	0.228	1.168
Sk-2	3	SK	31	0.255	0.955
Sk-3	1	SK	31	0	0.032
Sk-3	2	SK	31	0	0.016
Sk-3	3	SK	31	0	0.038
Sk-4	1	SK	31	0.144	0.706
Sk-4	2	SK	31	0.139	0.752
Sk-4	3	SK	31	0.13	0.800
Sa-1	1	SA	31	0.222	0.975
Sa-1	2	SA	31	0.241	1.047
Sa-1	3	SA	31	0.294	0.876
Sa-2	1	SA	31	0.296	1.056
Sa-2	2	SA	31	0.309	1.091
Sa-2	3	SA	31	0.341	1.110
Sa-3	1	SA	31	0.282	1.089
Sa-3	2	SA	31	0.277	0.906
Sa-3	3	SA	31	0.266	0.996
Sa-4	1	SA	31	0.286	0.945
Sa-4	2	SA	31	0.272	0.943
Sa-4	3	SA	31	0.304	0.992
Sm-1	1	SM	31	0.518	1.236
Sm-1	2	SM	31	0.536	1.171
Sm-1	3	SM	31	0.557	1.152
Sm-2	1	SM	31	0.59	1.146
Sm-2	2	SM	31	0.6	1.113
Sm-2	3	SM	31	0.654	0.991
Sm-3	1	SM	31	0.562	1.128
Sm-3	2	SM	31	0.599	1.065
Sm-3	3	SM	31	0.54	1.106
Sm-4	1	SM	31	0.634	1.097
Sm-4	2	SM	31	0.561	1.186
Sm-4	3	SM	31	0.657	1.196
Sm-5	1	SM	31	0.567	1.193
Sm-5	2	SM	31	0.574	1.156
Sm-5	3	SM	31	0.621	1.064
Sm-6	1	SM	31	0.572	1.154
Sm-6	2	SM	31	0.595	1.179
Sm-6	3	SM	31	0.62	1.211
Se-1	1	SE	31	0.472	1.043
Se-1	2	SE	31	0.472	1.057
Se-1	3	SE	31	0.44	1.064
Se-2	1	SE	31	0	0.012
Se-2	2	SE	31	0	0.021
Se-2	3	SE	31	0	0.012
Se-3	1	SE	31	0	0.000
Se-3	2	SE	31	0	0.000
Se-3	3	SE	31	0	0.000
Se-4	1	SE	31	0.48	1.114
Se-4	2	SE	31	0.445	1.061
Se-4	3	SE	31	0.501	1.125
Se-5	1	SE	31	0.438	1.085
Se-5	2	SE	31	0.46	1.067
Se-5	3	SE	31	0.421	1.102
Se-6	1	SE	31	0.132	0.466
Se-6	2	SE	31	0.0907	0.389
Se-6	3	SE	31	0.122	0.389
Sj-1	1	SJ	31	0.526	1.121
Sj-1	2	SJ	31	0.487	1.068
Sj-1	3	SJ	31	0.511	1.096
Sj-2	1	SJ	31	0.362	1.031
Sj-2	2	SJ	31	0.361	1.104
Sj-2	3	SJ	31	0.359	1.035
Su-1	1	SU	34	0.167	0.923
Su-1	2	SU	34	0.176	0.900
Su-1	3	SU	34	0.191	0.959
Su-2	1	SU	34	0.215	0.744
Su-2	2	SU	34	0.208	0.704
Su-2	3	SU	34	0.238	0.812
Su-3	1	SU	34	0.19	0.938
Su-3	2	SU	34	0.187	0.787
Su-3	3	SU	34	0.182	0.922
Su-4	1	SU	34	0	0.070
Su-4	2	SU	34	0	0.048
Su-4	3	SU	34	0	0.067
Sk-1	1	SK	34	0	0.002
Sk-1	2	SK	34	0	0.003
Sk-1	3	SK	34	0	0.000
Sk-2	1	SK	34	0	0.004
Sk-2	2	SK	34	0	0.006
Sk-2	3	SK	34	0	0.005
Sk-3	1	SK	34	0	0.005
Sk-3	2	SK	34	0	0.005
Sk-3	3	SK	34	0	0.006
Sk-4	1	SK	34	0	0.003
Sk-4	2	SK	34	0	0.006
Sk-4	3	SK	34	0	0.008
Sa-1	1	SA	34	0	0.005
Sa-1	2	SA	34	0	0.005
Sa-1	3	SA	34	0	0.000
Sa-2	1	SA	34	0	0.007
Sa-2	2	SA	34	0	0.025
Sa-2	3	SA	34	0	0.001
Sa-3	1	SA	34	0	0.011
Sa-3	2	SA	34	0	0.006
Sa-3	3	SA	34	0	0.008
Sa-4	1	SA	34	0	0.005
Sa-4	2	SA	34	0	0.011
Sa-4	3	SA	34	0	0.010
Sm-1	1	SM	34	0.462	1.177
Sm-1	2	SM	34	0.433	1.191
Sm-1	3	SM	34	0.464	1.152
Sm-2	1	SM	34	0.506	1.093
Sm-2	2	SM	34	0.466	1.142
Sm-2	3	SM	34	0.538	1.179
Sm-3	1	SM	34	0.499	1.195
Sm-3	2	SM	34	0.512	1.194
Sm-3	3	SM	34	0.472	1.284
Sm-4	1	SM	34	0.506	1.135
Sm-4	2	SM	34	0.485	1.082
Sm-4	3	SM	34	0.506	1.102
Sm-5	1	SM	34	0.502	1.238
Sm-5	2	SM	34	0.485	1.146
Sm-5	3	SM	34	0.53	1.126
Sm-6	1	SM	34	0.443	1.019
Sm-6	2	SM	34	0.435	1.091
Sm-6	3	SM	34	0.461	1.115
Se-1	1	SE	34	0.256	1.204
Se-1	2	SE	34	0.252	1.015
Se-1	3	SE	34	0.25	0.947
Se-2	1	SE	34	0	0.000
Se-2	2	SE	34	0	0.005
Se-2	3	SE	34	0	0.005
Se-3	1	SE	34	0	0.004
Se-3	2	SE	34	0	0.004
Se-3	3	SE	34	0	0.000
Se-4	1	SE	34	0.245	1.046
Se-4	2	SE	34	0.23	1.200
Se-4	3	SE	34	0.252	1.071
Se-5	1	SE	34	0	0.031
Se-5	2	SE	34	0	0.018
Se-5	3	SE	34	0	0.022
Se-6	1	SE	34	0	0.007
Se-6	2	SE	34	0	0.015
Se-6	3	SE	34	0	0.010
Sj-1	1	SJ	34	0.433	1.093
Sj-1	2	SJ	34	0.436	1.081
Sj-1	3	SJ	34	0.435	1.117
Sj-2	1	SJ	34	0.112	0.541
Sj-2	2	SJ	34	0.115	0.557
Sj-2	3	SJ	34	0.116	0.727
Su-1	1	SU	37	0	0.001
Su-1	2	SU	37	0	0.007
Su-1	3	SU	37	0	0.002
Su-2	1	SU	37	0	0.007
Su-2	2	SU	37	0	0.011
Su-2	3	SU	37	0	0.005
Su-3	1	SU	37	0	0.009
Su-3	2	SU	37	0	0.006
Su-3	3	SU	37	0	0.009
Su-4	1	SU	37	0	0.008
Su-4	2	SU	37	0	0.013
Su-4	3	SU	37	0	0.010
Sk-1	1	SK	37	0	0.000
Sk-1	2	SK	37	0	0.004
Sk-1	3	SK	37	0	0.000
Sk-2	1	SK	37	0	0.006
Sk-2	2	SK	37	0	0.008
Sk-2	3	SK	37	0	0.001
Sk-3	1	SK	37	0	0.008
Sk-3	2	SK	37	0	0.007
Sk-3	3	SK	37	0	0.010
Sk-4	1	SK	37	0	0.006
Sk-4	2	SK	37	0	0.011
Sk-4	3	SK	37	0	0.007
Sa-1	1	SA	37	0	0.000
Sa-1	2	SA	37	0	0.004
Sa-1	3	SA	37	0	0.001
Sa-2	1	SA	37	0	0.007
Sa-2	2	SA	37	0	0.007
Sa-2	3	SA	37	0	0.001
Sa-3	1	SA	37	0	0.010
Sa-3	2	SA	37	0	0.009
Sa-3	3	SA	37	0	0.012
Sa-4	1	SA	37	0	0.009
Sa-4	2	SA	37	0	0.012
Sa-4	3	SA	37	0	0.007
Sm-1	1	SM	37	0	0.011
Sm-1	2	SM	37	0	0.020
Sm-1	3	SM	37	0	0.009
Sm-2	1	SM	37	0	0.019
Sm-2	2	SM	37	0	0.021
Sm-2	3	SM	37	0	0.020
Sm-3	1	SM	37	0.159	0.562
Sm-3	2	SM	37	0.152	0.635
Sm-3	3	SM	37	0.159	0.698
Sm-4	1	SM	37	0.0979	0.152
Sm-4	2	SM	37	0.0868	0.112
Sm-4	3	SM	37	0.103	0.147
Sm-5	1	SM	37	0.163	0.964
Sm-5	2	SM	37	0.146	0.825
Sm-5	3	SM	37	0.156	0.819
Sm-6	1	SM	37	0	0.014
Sm-6	2	SM	37	0	0.014
Sm-6	3	SM	37	0	0.010
Se-1	1	SE	37	0	0.010
Se-1	2	SE	37	0	0.007
Se-1	3	SE	37	0	0.010
Se-2	1	SE	37	0	0.007
Se-2	2	SE	37	0	0.011
Se-2	3	SE	37	0	0.007
Se-3	1	SE	37	0	0.001
Se-3	2	SE	37	0	0.005
Se-3	3	SE	37	0	0.000
Se-4	1	SE	37	0	0.008
Se-4	2	SE	37	0	0.023
Se-4	3	SE	37	0	0.005
Se-5	1	SE	37	0	0.011
Se-5	2	SE	37	0	0.009
Se-5	3	SE	37	0	0.014
Se-6	1	SE	37	0	0.008
Se-6	2	SE	37	0	0.015
Se-6	3	SE	37	0	0.009
Sj-1	1	SJ	37	0	0.024
Sj-1	2	SJ	37	0	0.043
Sj-1	3	SJ	37	0	0.020
Sj-2	1	SJ	37	0	0.032
Sj-2	2	SJ	37	0	0.026
Sj-2	3	SJ	37	0	0.033
Su-1	1	SU	40	0	0.000
Su-1	2	SU	40	0	0.000
Su-1	3	SU	40	0	0.000
Su-2	1	SU	40	0	0.000
Su-2	2	SU	40	0	0.000
Su-2	3	SU	40	0	0.000
Su-3	1	SU	40	0	0.000
Su-3	2	SU	40	0	0.000
Su-3	3	SU	40	0	0.000
Su-4	1	SU	40	0	0.000
Su-4	2	SU	40	0	0.000
Su-4	3	SU	40	0	0.000
Sk-1	1	SK	40	0	0.000
Sk-1	2	SK	40	0	0.000
Sk-1	3	SK	40	0	0.000
Sk-2	1	SK	40	0	0.000
Sk-2	2	SK	40	0	0.000
Sk-2	3	SK	40	0	0.000
Sk-3	1	SK	40	0	0.000
Sk-3	2	SK	40	0	0.000
Sk-3	3	SK	40	0	0.000
Sk-4	1	SK	40	0	0.000
Sk-4	2	SK	40	0	0.000
Sk-4	3	SK	40	0	0.000
Sa-1	1	SA	40	0	0.000
Sa-1	2	SA	40	0	0.000
Sa-1	3	SA	40	0	0.000
Sa-2	1	SA	40	0	0.000
Sa-2	2	SA	40	0	0.000
Sa-2	3	SA	40	0	0.000
Sa-3	1	SA	40	0	0.000
Sa-3	2	SA	40	0	0.000
Sa-3	3	SA	40	0	0.000
Sa-4	1	SA	40	0	0.000
Sa-4	2	SA	40	0	0.000
Sa-4	3	SA	40	0	0.000
Sm-1	1	SM	40	0	0.000
Sm-1	2	SM	40	0	0.000
Sm-1	3	SM	40	0	0.000
Sm-2	1	SM	40	0	0.000
Sm-2	2	SM	40	0	0.000
Sm-2	3	SM	40	0	0.000
Sm-3	1	SM	40	0	0.000
Sm-3	2	SM	40	0	0.000
Sm-3	3	SM	40	0	0.000
Sm-4	1	SM	40	0	0.000
Sm-4	2	SM	40	0	0.000
Sm-4	3	SM	40	0	0.000
Sm-5	1	SM	40	0	0.000
Sm-5	2	SM	40	0	0.000
Sm-5	3	SM	40	0	0.000
Sm-6	1	SM	40	0	0.000
Sm-6	2	SM	40	0	0.000
Sm-6	3	SM	40	0	0.000
Se-1	1	SE	40	0	0.000
Se-1	2	SE	40	0	0.000
Se-1	3	SE	40	0	0.000
Se-2	1	SE	40	0	0.000
Se-2	2	SE	40	0	0.000
Se-2	3	SE	40	0	0.000
Se-3	1	SE	40	0	0.000
Se-3	2	SE	40	0	0.000
Se-3	3	SE	40	0	0.000
Se-4	1	SE	40	0	0.000
Se-4	2	SE	40	0	0.000
Se-4	3	SE	40	0	0.000
Se-5	1	SE	40	0	0.000
Se-5	2	SE	40	0	0.000
Se-5	3	SE	40	0	0.000
Se-6	1	SE	40	0	0.000
Se-6	2	SE	40	0	0.000
Se-6	3	SE	40	0	0.000
Sj-1	1	SJ	40	0	0.000
Sj-1	2	SJ	40	0	0.000
Sj-1	3	SJ	40	0	0.000
Sj-2	1	SJ	40	0	0.000
Sj-2	2	SJ	40	0	0.000
Sj-2	3	SJ	40	0	0.000
Sp-1	1	SP	34	0.366	0.878
Sp-1	2	SP	34	0.352	0.885
Sp-1	3	SP	34	0.37	0.707
Sp-2	1	SP	34	0.503	1.092
Sp-2	2	SP	34	0.495	1.036
Sp-2	3	SP	34	0.526	0.957
Sp-3	1	SP	34	0.409	0.797
Sp-3	2	SP	34	0.39	0.819
Sp-3	3	SP	34	0.427	0.831
Sp-4	1	SP	34	0.364	0.743
Sp-4	2	SP	34	0.383	0.919
Sp-4	3	SP	34	0.347	0.846
Sp-5	1	SP	34	0.63	0.973
Sp-5	2	SP	34	0.597	0.898
Sp-5	3	SP	34	0.621	0.941
Sp-6	1	SP	34	0.447	1.160
Sp-6	2	SP	34	0.465	1.101
Sp-6	3	SP	34	0.481	1.121
Sp-7	1	SP	34	0.503	1.044
Sp-7	2	SP	34	0.428	0.879
Sp-7	3	SP	34	0.443	0.856
Sp-8	1	SP	34	0.424	0.969
Sp-8	2	SP	34	0.45	1.044
Sp-8	3	SP	34	0.401	1.062
Sp-9	1	SP	34	0.543	1.178
Sp-9	2	SP	34	0.539	1.185
Sp-9	3	SP	34	0.577	1.186
Sc-1	1	SC	34	0.396	1.103
Sc-1	2	SC	34	0.38	1.206
Sc-1	3	SC	34	0.413	1.213
Sc-2	1	SC	34	0.711	1.095
Sc-2	2	SC	34	0.64	1.050
Sc-2	3	SC	34	0.666	0.991
Sc-3	1	SC	34	0.675	0.876
Sc-3	2	SC	34	0.631	0.911
Sc-3	3	SC	34	0.599	0.996
Sc-4	1	SC	34	0.659	1.071
Sc-4	2	SC	34	0.665	0.866
Sc-4	3	SC	34	0.7	0.975
Sc-5	1	SC	34	0.607	0.874
Sc-5	2	SC	34	0.641	0.927
Sc-5	3	SC	34	0.66	0.939
Sc-6	1	SC	34	0.564	1.021
Sc-6	2	SC	34	0.536	1.089
Sc-6	3	SC	34	0.581	1.148
Sc-7	1	SC	34	0.588	1.051
Sc-7	2	SC	34	0.594	1.045
Sc-7	3	SC	34	0.505	1.055
Sc-8	1	SC	34	0.662	1.151
Sc-8	2	SC	34	0.643	1.102
Sc-8	3	SC	34	0.701	0.985
Sc-9	1	SC	34	0.728	1.106
Sc-9	2	SC	34	0.686	0.997
Sc-9	3	SC	34	0.718	0.987
Sc-10	1	SC	34	0.641	1.208
Sc-10	2	SC	34	0.659	1.196
Sc-10	3	SC	34	0.685	1.193
Sc-11	1	SC	34	0.673	1.028
Sc-11	2	SC	34	0.658	1.069
Sc-11	3	SC	34	0.556	1.154
Sc-12	1	SC	34	0.592	1.105
Sc-12	2	SC	34	0.569	1.208
Sc-12	3	SC	34	0.66	1.185
Sc-13	1	SC	34	0.772	1.226
Sc-13	2	SC	34	0.686	1.155
Sc-13	3	SC	34	0.672	1.146
Sc-14	1	SC	34	0.689	1.123
Sc-14	2	SC	34	0.656	1.158
Sc-14	3	SC	34	0.73	1.133
Sc-15	1	SC	34	0.382	1.004
Sc-15	2	SC	34	0.414	1.078
Sc-15	3	SC	34	0.356	1.219
Sc-16	1	SC	34	0.641	1.030
Sc-16	2	SC	34	0.555	1.155
Sc-16	3	SC	34	0.629	1.198
Sp-1	1	SP	37	0	0.007
Sp-1	2	SP	37	0	0.013
Sp-1	3	SP	37	0	0.006
Sp-2	1	SP	37	0.255	0.776
Sp-2	2	SP	37	0.245	0.983
Sp-2	3	SP	37	0.247	0.808
Sp-3	1	SP	37	0.127	0.568
Sp-3	2	SP	37	0.128	0.573
Sp-3	3	SP	37	0.143	0.657
Sp-4	1	SP	37	0.142	0.699
Sp-4	2	SP	37	0.145	0.784
Sp-4	3	SP	37	0.139	0.817
Sp-5	1	SP	37	0.397	1.137
Sp-5	2	SP	37	0.393	1.031
Sp-5	3	SP	37	0.405	0.866
Sp-6	1	SP	37	0.133	0.054
Sp-6	2	SP	37	0.109	0.064
Sp-6	3	SP	37	0.128	0.062
Sp-7	1	SP	37	0	0.015
Sp-7	2	SP	37	0	0.020
Sp-7	3	SP	37	0	0.016
Sp-8	1	SP	37	0.192	0.392
Sp-8	2	SP	37	0.153	0.187
Sp-8	3	SP	37	0.136	0.285
Sp-9	1	SP	37	0.317	1.002
Sp-9	2	SP	37	0.322	1.101
Sp-9	3	SP	37	0.341	1.054
Sc-1	1	SC	37	0.325	0.887
Sc-1	2	SC	37	0.323	1.227
Sc-1	3	SC	37	0.336	1.164
Sc-2	1	SC	37	0.507	1.219
Sc-2	2	SC	37	0.495	0.881
Sc-2	3	SC	37	0.532	1.197
Sc-3	1	SC	37	0.521	0.929
Sc-3	2	SC	37	0.589	1.070
Sc-3	3	SC	37	0.53	1.030
Sc-4	1	SC	37	0.585	1.012
Sc-4	2	SC	37	0.537	1.061
Sc-4	3	SC	37	0.54	0.808
Sc-5	1	SC	37	0.497	0.822
Sc-5	2	SC	37	0.519	1.080
Sc-5	3	SC	37	0.556	0.967
Sc-6	1	SC	37	0.368	1.212
Sc-6	2	SC	37	0.368	1.068
Sc-6	3	SC	37	0.455	1.298
Sc-7	1	SC	37	0.294	1.286
Sc-7	2	SC	37	0.319	1.011
Sc-7	3	SC	37	0.309	0.955
Sc-8	1	SC	37	0.557	1.060
Sc-8	2	SC	37	0.5	0.976
Sc-8	3	SC	37	0.507	0.897
Sc-9	1	SC	37	0.589	0.985
Sc-9	2	SC	37	0.602	1.166
Sc-9	3	SC	37	0.608	1.014
Sc-10	1	SC	37	0.491	1.122
Sc-10	2	SC	37	0.489	1.335
Sc-10	3	SC	37	0.535	1.211
Sc-11	1	SC	37	0.519	1.206
Sc-11	2	SC	37	0.474	1.019
Sc-11	3	SC	37	0.539	1.154
Sc-12	1	SC	37	0.436	1.151
Sc-12	2	SC	37	0.388	1.191
Sc-12	3	SC	37	0.387	1.022
Sc-13	1	SC	37	0.599	1.215
Sc-13	2	SC	37	0.681	1.230
Sc-13	3	SC	37	0.641	1.224
Sc-14	1	SC	37	0.726	1.273
Sc-14	2	SC	37	0.656	1.258
Sc-14	3	SC	37	0.634	1.231
Sc-15	1	SC	37	0.262	1.160
Sc-15	2	SC	37	0.255	1.002
Sc-15	3	SC	37	0.25	1.036
Sc-16	1	SC	37	0.383	1.167
Sc-16	2	SC	37	0.378	1.290
Sc-16	3	SC	37	0.38	1.130
Sp-1	1	SP	31	0.546	0.726
Sp-1	2	SP	31	0.478	0.900
Sp-1	3	SP	31	0.512	0.646
Sp-2	1	SP	31	0.486	0.826
Sp-2	2	SP	31	0.498	0.804
Sp-2	3	SP	31	0.563	0.872
Sp-3	1	SP	31	0.525	1.087
Sp-3	2	SP	31	0.504	0.981
Sp-3	3	SP	31	0.536	1.033
Sp-4	1	SP	31	0.484	0.747
Sp-4	2	SP	31	0.476	0.836
Sp-4	3	SP	31	0.486	0.908
Sp-5	1	SP	31	0.513	0.821
Sp-5	2	SP	31	0.569	0.725
Sp-5	3	SP	31	0.575	0.752
Sp-6	1	SP	31	0.482	0.952
Sp-6	2	SP	31	0.537	0.971
Sp-6	3	SP	31	0.568	1.085
Sp-7	1	SP	31	0.507	1.179
Sp-7	2	SP	31	0.502	1.186
Sp-7	3	SP	31	0.436	1.198
Sp-8	1	SP	31	0.398	0.911
Sp-8	2	SP	31	0.412	1.036
Sp-8	3	SP	31	0.382	0.991
Sp-9	1	SP	31	0.570	1.092
Sp-9	2	SP	31	0.547	0.963
Sp-9	3	SP	31	0.589	0.880
Sc-1	1	SC	31	0.377	1.146
Sc-1	2	SC	31	0.397	1.171
Sc-1	3	SC	31	0.440	1.192
Sc-2	1	SC	31	0.639	0.914
Sc-2	2	SC	31	0.638	1.223
Sc-2	3	SC	31	0.624	1.291
Sc-3	1	SC	31	0.625	0.979
Sc-3	2	SC	31	0.632	1.082
Sc-3	3	SC	31	0.623	0.996
Sc-4	1	SC	31	0.671	0.926
Sc-4	2	SC	31	0.626	0.951
Sc-4	3	SC	31	0.681	0.994
Sc-5	1	SC	31	0.527	0.879
Sc-5	2	SC	31	0.631	1.003
Sc-5	3	SC	31	0.738	0.996
Sc-6	1	SC	31	0.590	0.701
Sc-6	2	SC	31	0.564	0.910
Sc-6	3	SC	31	0.630	0.983
Sc-7	1	SC	31	0.567	1.121
Sc-7	2	SC	31	0.575	1.149
Sc-7	3	SC	31	0.536	1.151
Sc-8	1	SC	31	0.609	1.103
Sc-8	2	SC	31	0.616	0.954
Sc-8	3	SC	31	0.584	0.834
Sc-9	1	SC	31	0.610	0.945
Sc-9	2	SC	31	0.659	1.052
Sc-9	3	SC	31	0.707	1.104
Sc-10	1	SC	31	0.672	1.082
Sc-10	2	SC	31	0.675	1.058
Sc-10	3	SC	31	0.679	1.156
Sc-11	1	SC	31	0.633	1.146
Sc-11	2	SC	31	0.655	1.186
Sc-11	3	SC	31	0.605	1.123
Sc-12	1	SC	31	0.623	1.112
Sc-12	2	SC	31	0.553	1.023
Sc-12	3	SC	31	0.588	1.017
Sc-13	1	SC	31	0.735	1.132
Sc-13	2	SC	31	0.683	1.096
Sc-13	3	SC	31	0.711	1.183
Sc-14	1	SC	31	0.627	1.215
Sc-14	2	SC	31	0.658	1.125
Sc-14	3	SC	31	0.595	1.136
Sc-15	1	SC	31	0.395	1.191
Sc-15	2	SC	31	0.436	1.142
Sc-15	3	SC	31	0.390	1.094
Sc-16	1	SC	31	0.644	1.133
